,headline,is_sarcastic,website
983,Trump Stumped Over Why Jan. 6 Panel Didn't Just Ask Him To Testify Earlier. Nobody Else Is.,0,huffpost.com
984,North Korea Launches More Missiles As U.S. Redeploys Carrier,0,huffpost.com
985,"Herschel Walker Addresses Mental Illness In New Ad, And Twitter Users Have Thoughts",0,huffpost.com
986,DHS To Let Thousands Of Qualifying Venezuelan Migrants Enter U.S.,0,huffpost.com
987,MTA Announces Train Delayed Due To The Beautiful Randomness Of Life,1,the Onion
988,Report: Queen Elizabeth Shot Herself In Bunker As Enemy Forces Closed In,1,the Onion
989,Joe Biden Discusses Possible Charges Against Hunter Biden For First Time,0,huffpost.com
990,Documents The National Archives Claims Trump Has Still Not Returned,1,the Onion
991,Ultra-Realistic ‘NBA 2K23’ Update Adds Unexplainable Horseshit Calls,1,the Onion
992,FDA Recalls Thing You Just Ate,1,the Onion
993,Inmate Regrets Wearing Shorts To Execution After Feeling Thighs Stick To Electric Chair,1,the Onion
994,Scientists Plan To Resurrect Extinct Tasmanian Tiger,1,the Onion
995,Most Controversial Texts Sent To Elon Musk About Twitter,1,the Onion
996,"As Hurricane Ian Battered Florida, Older Adults Were Especially Vulnerable",0,huffpost.com
997,"Stockton, Calif., Police Arrest Suspect In Serial Killings",0,huffpost.com
998,Sen. Rick Scott Won't Condemn Trump's Racist Attack on Mitch McConnell's Wife,0,huffpost.com
999,"Herschel Walker Brushes Up On Theoretical Physics, Linguistics To Formulate Ideal Conditions For Warnock Debate",1,the Onion
1000,"Thailand Mourns After Mass Shooting Leaves Dozens Dead, Including 24 Children",0,huffpost.com
1001,Daily Affirmation: I Am Light,1,the Onion
1002,Man Who Said Abortion Is Genocide Pleads Guilty To Arson At Planned Parenthood Clinic,0,huffpost.com
1003,Medic Performing CPR On Dead Guy Puts On Whole Show For Family Watching,1,the Onion
1004,Airbnb Owners Explain Why They Oppose Regulations,1,the Onion
1005,Education Department Launches Beta Website For Student Loan Forgiveness Applications,0,huffpost.com
1006,Man Looking To Become Misogynist Loser Hopes To Find Guidance Online,1,the Onion
1007,Glenn Youngkin Defends Endorsing Election Denier Kari Lake For Arizona Governor,0,huffpost.com
1008,"National Archives Sought Trump's Letters With Kim Jong Un, Obama In May 2021",0,huffpost.com
1009,Kamala Harris Briefly Ponders Stepping Across DMZ To Whatever Fate Awaits Her,1,the Onion
1010,"Week In Review: September 12, 2022",1,the Onion
1011,Roger Stone Blasts 'Abortionist B***h' Ivanka Trump After Failure To Win Jan. 6 Pardon,0,huffpost.com
1012,Jan. 6 Committee Votes To Subpoena Donald Trump,0,huffpost.com
1013,Twitter Lights Up With Jokes Over Biden's Big Cannabis News,0,huffpost.com
1014,High Schoolers Given Detention For Cutting Class During Active Shooting,1,the Onion
1015,No Going Back Now: We Wasted Our One Precious Life On This Earth Testing 9 Bluetooth Speakers For You,1,the Onion
1016,"Investigators Seize 27 Antiquities From Met Museum, Citing Looting",1,the Onion
1017,Study: Psilocybin Mushrooms May Help Heavy Drinkers Quit,1,the Onion
1018,FDA Requires Cigarette Packs Have Image Of Cigarette Pack Which Itself Has Smaller Image Of Cigarette Pack To Make Smokers Question Where This All Ends,1,the Onion
1019,Supreme Court Agrees To Hear Cases That Could Reel In Social Media Companies’ Immunity,0,huffpost.com
1020,More Cities Now Providing Special Disposal Bin For Cursed Artifacts,1,the Onion
1021,FDA Declares Adderall Shortage Following Supply Delays,0,huffpost.com
1022,Poll Finds Most Americans Are Quiet Quitting,1,the Onion
1023,Brazil Presidential Election Headed To Runoff After Surprisingly Strong Vote For Far-Right Bolsonaro,0,huffpost.com
1024,DOJ Asks SCOTUS To Deny Trump Plea Over FBI Search,0,huffpost.com
1025,Remember This Guy? Nancy Pelosi Has A Special Message Just For Him.,0,huffpost.com
1026,"Trump Made Secret Service Pay 'Exorbitant Rates' At His Hotels, Documents Show",0,huffpost.com
1027,Heist Crew Accidentally All Getaway Drivers,1,the Onion
1028,Missouri School To Close After Radioactive Waste Report,0,huffpost.com
1029,Stress During Pregnancy May Have Negative Emotional Impact On Babies,1,the Onion
1030,Watch A Honey Badger Fight 3 Leopards In 'Unbelievable Battle' For Survival,0,huffpost.com
1031,Biden Secures Liberal Priorities With Little Republican Backlash,0,huffpost.com
1032,"Pilot Sues Southwest After Colleague Exposed Himself, Watched Porn In Cockpit",0,huffpost.com
1033,"Annoying Boyfriend Always Leaves Toilet Seat Ripped Off, Flung Across Bathroom",1,the Onion
1034,Chess Grandmaster Accused Of Cheating Has Butt Scanned Before Game,0,huffpost.com
